DMS_id,feature_id,rank_within_assay,spearman_dms,abs_spearman_dms,spearman_esm,permutation_p,bh_q,target_length,assay_positions,motif_hit_count,active_positions,motif_positions,overlap_positions,overlap_fraction_active,fisher_p,low_target_motif_alignment,swissprot_tokens,swissprot_motif_positive_fraction,motif_auc,motif_spearman,motif_spearman_p,low_swissprot_motif_alignment
RD23A_HUMAN_Tsuboyama_2023_1IFY,9989,6,0.5421729488701249,0.5421729488701249,0.24357938220001896,0.004975124378109453,1.0,44,44,12,7,25,5,0.7142857142857143,0.33743836991142717,False,,,,,,True
MAFG_MOUSE_Tsuboyama_2023_1K1V,9740,2,0.5416592810026942,0.5416592810026942,0.4050819592291427,0.004975124378109453,1.0,41,41,16,6,37,6,1.0,0.5170336723610149,False,,,,,,True
AMFR_HUMAN_Tsuboyama_2023_4G3O,6901,2,-0.5414216264811353,0.5414216264811353,-0.07839356883493616,0.004975124378109453,1.0,47,47,14,7,36,2,0.2857142857142857,0.9997302974126917,False,,,,,,True
RBP1_HUMAN_Tsuboyama_2023_2KWH,7511,2,0.5407929409436554,0.5407929409436554,0.3935077113201613,0.004975124378109453,1.0,52,52,21,8,41,8,1.0,0.12696797497907586,False,,,,,,True
OTU7A_HUMAN_Tsuboyama_2023_2L2D,8960,2,0.5392730177615149,0.5392730177615149,0.17095442091404475,0.004975124378109453,1.0,42,42,9,7,25,4,0.5714285714285714,0.7160962680859986,False,,,,,,True
SQSTM_MOUSE_Tsuboyama_2023_2RRU,9740,5,0.5380373140208398,0.5380373140208398,0.5985889621414493,0.004975124378109453,1.0,40,40,8,6,26,5,0.8333333333333334,0.299905168326221,False,,,,,,True
YNZC_BACSU_Tsuboyama_2023_2JVD,5355,1,-0.5376953283518153,0.5376953283518153,-0.42184817066255376,0.004975124378109453,1.0,39,39,6,6,28,2,0.3333333333333333,0.99589348815355,False,,,,,,True
RD23A_HUMAN_Tsuboyama_2023_1IFY,3884,7,0.5367494389412556,0.5367494389412556,0.2483578205045865,0.004975124378109453,1.0,44,44,12,7,25,6,0.8571428571428571,0.10035341856101926,False,,,,,,True
OTU7A_HUMAN_Tsuboyama_2023_2L2D,832,3,0.5364573630769289,0.5364573630769289,0.23193660107569525,0.014925373134328358,1.0,42,42,9,7,25,2,0.2857142857142857,0.9878106604679133,False,,,,,,True
PIN1_HUMAN_Tsuboyama_2023_1I6C,7309,6,-0.5355221908552747,0.5355221908552747,-0.3240309938161389,0.004975124378109453,1.0,39,39,17,5,34,5,1.0,0.48328722012932535,False,35035.0,0.797887826459255,0.5079060372924684,0.020102924260841957,0.00016786120101695392,True
SAV1_MOUSE_Tsuboyama_2023_2YSB,9358,1,-0.5346766193733583,0.5346766193733583,-0.16234210490924836,0.004975124378109453,1.0,43,42,13,7,40,5,0.7142857142857143,0.9971639251276234,False,,,,,,True
VG08_BPP22_Tsuboyama_2023_2GP8,7511,2,0.5331706647039349,0.5331706647039349,0.2667485811776576,0.004975124378109453,1.0,40,40,15,5,36,5,1.0,0.5729292045081518,False,,,,,,True
PIN1_HUMAN_Tsuboyama_2023_1I6C,2236,7,0.5299491059406173,0.5299491059406173,0.5248824402339235,0.004975124378109453,1.0,39,39,17,6,34,5,0.8333333333333334,0.8386454702244176,False,,,,,,True
PIN1_HUMAN_Tsuboyama_2023_1I6C,3684,8,0.5257085020242915,0.5257085020242915,0.38906882591093117,0.009950248756218905,1.0,39,39,17,6,34,5,0.8333333333333334,0.8386454702244176,False,,,,,,True
RBP1_HUMAN_Tsuboyama_2023_2KWH,832,3,0.5237025385928071,0.5237025385928071,0.2681341166798616,0.004975124378109453,1.0,52,52,21,8,41,8,1.0,0.12696797497907586,False,,,,,,True
RD23A_HUMAN_Tsuboyama_2023_1IFY,832,8,0.52266531877488,0.52266531877488,0.2692238355804618,0.004975124378109453,1.0,44,44,12,7,25,4,0.5714285714285714,0.657314891574676,False,,,,,,True
OTU7A_HUMAN_Tsuboyama_2023_2L2D,9241,4,0.520246339770842,0.520246339770842,0.2920113761092196,0.004975124378109453,1.0,42,42,9,7,25,4,0.5714285714285714,0.7160962680859986,False,,,,,,True
VG08_BPP22_Tsuboyama_2023_2GP8,9989,3,0.5188047680432043,0.5188047680432043,0.4554642236754374,0.004975124378109453,1.0,40,40,15,5,36,5,1.0,0.5729292045081518,False,,,,,,True
SQSTM_MOUSE_Tsuboyama_2023_2RRU,8842,6,0.5181166302525608,0.5181166302525608,0.22059228388311933,0.004975124378109453,1.0,40,40,8,6,26,4,0.6666666666666666,0.6543385490753912,False,,,,,,True
SQSTM_MOUSE_Tsuboyama_2023_2RRU,9537,7,0.5177679063872459,0.5177679063872459,0.45644653392612017,0.004975124378109453,1.0,40,40,8,6,26,3,0.5,0.9009009009009009,False,,,,,,True
OTU7A_HUMAN_Tsuboyama_2023_2L2D,8842,5,0.5159584120777069,0.5159584120777069,0.36234253497467217,0.004975124378109453,1.0,42,42,9,7,25,4,0.5714285714285714,0.7160962680859986,False,,,,,,True
RBP1_HUMAN_Tsuboyama_2023_2KWH,9989,4,0.5152501415049217,0.5152501415049217,0.28545714210798984,0.004975124378109453,1.0,52,52,21,8,41,6,0.75,0.7842139631060565,False,,,,,,True
AMFR_HUMAN_Tsuboyama_2023_4G3O,4356,3,0.5138222747908465,0.5138222747908465,0.2606082433373838,0.004975124378109453,1.0,47,47,14,7,36,7,1.0,0.1327314523064556,False,,,,,,True
SQSTM_MOUSE_Tsuboyama_2023_2RRU,514,8,0.5127461546863255,0.5127461546863255,0.011009474910782583,0.014925373134328358,1.0,40,40,8,6,26,4,0.6666666666666666,0.6543385490753912,False,,,,,,True
PIN1_HUMAN_Tsuboyama_2023_1I6C,616,9,-0.5123522326953036,0.5123522326953036,-0.20400015793478424,0.004975124378109453,1.0,39,39,17,5,34,5,1.0,0.48328722012932535,False,,,,,,True
SQSTM_MOUSE_Tsuboyama_2023_2RRU,2554,9,-0.5105860802490169,0.5105860802490169,-0.3071337713673878,0.004975124378109453,1.0,40,40,8,6,26,4,0.6666666666666666,0.6543385490753912,False,,,,,,True
RBP1_HUMAN_Tsuboyama_2023_2KWH,1146,5,0.509308054900952,0.509308054900952,0.3217862081991555,0.004975124378109453,1.0,52,52,21,8,41,7,0.875,0.45559096904256613,False,,,,,,True
YNZC_BACSU_Tsuboyama_2023_2JVD,1886,2,-0.507073708467909,0.507073708467909,-0.2987344258715865,0.004975124378109453,1.0,39,39,6,6,28,4,0.6666666666666666,0.7919839343987951,False,,,,,,True
SR43C_ARATH_Tsuboyama_2023_2N88,2021,1,0.5061605298438135,0.5061605298438135,0.07111136395196578,0.004975124378109453,1.0,48,48,17,8,46,8,1.0,0.6914893617021276,False,,,,,,True
TCRG1_MOUSE_Tsuboyama_2023_1E0L,6532,2,-0.5019106642211256,0.5019106642211256,-0.26233652631058835,0.004975124378109453,1.0,37,35,12,6,31,4,0.6666666666666666,0.958249024425495,False,,,,,,True
SQSTM_MOUSE_Tsuboyama_2023_2RRU,3884,10,0.4992155004723521,0.4992155004723521,0.5351116483936406,0.004975124378109453,1.0,40,40,8,6,26,4,0.6666666666666666,0.6543385490753912,False,,,,,,True
TCRG1_MOUSE_Tsuboyama_2023_1E0L,6830,3,0.49873821843824434,0.49873821843824434,0.4347830363213041,0.004975124378109453,1.0,37,35,12,6,31,6,1.0,0.3167094233270704,False,,,,,,True
SAV1_MOUSE_Tsuboyama_2023_2YSB,747,2,0.4986204284054589,0.4986204284054589,0.3491734497708181,0.004975124378109453,1.0,43,42,13,7,40,7,1.0,0.5785592739648326,False,,,,,,True
PIN1_HUMAN_Tsuboyama_2023_1I6C,10128,10,-0.49848470249612176,0.49848470249612176,-0.20282261175635855,0.009950248756218905,1.0,39,39,17,6,34,6,1.0,0.41221557011030685,False,,,,,,True
SQSTM_MOUSE_Tsuboyama_2023_2RRU,6901,11,-0.4983399584584531,0.4983399584584531,-0.16976940211598976,0.004975124378109453,1.0,40,40,8,6,26,5,0.8333333333333334,0.299905168326221,False,,,,,,True
SR43C_ARATH_Tsuboyama_2023_2N88,1903,2,0.49811159678705824,0.49811159678705824,0.105246268991376,0.004975124378109453,1.0,48,48,17,8,46,7,0.875,0.975177304964539,False,,,,,,True
SAV1_MOUSE_Tsuboyama_2023_2YSB,1931,3,-0.49778606093804484,0.49778606093804484,-0.11682010171182619,0.004975124378109453,1.0,43,42,13,7,40,6,0.8571428571428571,0.9359047078842881,False,,,,,,True
VG08_BPP22_Tsuboyama_2023_2GP8,8659,4,-0.4965527456464671,0.4965527456464671,-0.260446783255745,0.004975124378109453,1.0,40,40,15,6,36,6,1.0,0.5074515811357916,False,,,,,,True
SQSTM_MOUSE_Tsuboyama_2023_2RRU,2236,12,0.4943306913332383,0.4943306913332383,0.24010678476509117,0.009950248756218905,1.0,40,40,8,6,26,3,0.5,0.9009009009009009,False,,,,,,True
OTU7A_HUMAN_Tsuboyama_2023_2L2D,2236,6,0.49388933224756526,0.49388933224756526,0.09684832134982309,0.014925373134328358,1.0,42,42,9,7,25,5,0.7142857142857143,0.3972477464133433,False,,,,,,True
RD23A_HUMAN_Tsuboyama_2023_1IFY,6981,9,0.4906595130941896,0.4906595130941896,0.2579905624019145,0.004975124378109453,1.0,44,44,12,7,25,5,0.7142857142857143,0.33743836991142717,False,,,,,,True
MAFG_MOUSE_Tsuboyama_2023_1K1V,6278,3,0.4904950455622751,0.4904950455622751,0.3831651163273229,0.004975124378109453,1.0,41,41,16,6,37,5,0.8333333333333334,0.9048089266317765,False,,,,,,True
SDA_BACSU_Tsuboyama_2023_1PV0,9989,1,0.48886171014739566,0.48886171014739566,0.27125224337154036,0.004975124378109453,1.0,44,44,18,7,37,7,1.0,0.26866699888164497,False,,,,,,True
PIN1_HUMAN_Tsuboyama_2023_1I6C,5221,11,-0.4883764145109588,0.4883764145109588,-0.2111462386169492,0.004975124378109453,1.0,39,39,17,6,34,6,1.0,0.41221557011030685,False,,,,,,True
RBP1_HUMAN_Tsuboyama_2023_2KWH,194,6,0.48708736300393385,0.48708736300393385,0.056111808897657295,0.004975124378109453,1.0,52,52,21,8,41,7,0.875,0.45559096904256613,False,,,,,,True
PIN1_HUMAN_Tsuboyama_2023_1I6C,9358,12,-0.4868945857606516,0.4868945857606516,-0.22582591380573247,0.009950248756218905,1.0,39,39,17,6,34,6,1.0,0.41221557011030685,False,,,,,,True
TCRG1_MOUSE_Tsuboyama_2023_1E0L,7309,4,-0.4841233329811335,0.4841233329811335,-0.2620856158651791,0.004975124378109453,1.0,37,35,12,4,31,0,0.0,1.0,True,35035.0,0.797887826459255,0.5079060372924684,0.020102924260841957,0.00016786120101695392,True
TCRG1_MOUSE_Tsuboyama_2023_1E0L,3684,5,0.48387144364790297,0.48387144364790297,0.575596639052462,0.009950248756218905,1.0,37,35,12,6,31,6,1.0,0.3167094233270704,False,,,,,,True
PIN1_HUMAN_Tsuboyama_2023_1I6C,8195,13,0.48308265050533816,0.48308265050533816,0.2839742607700299,0.004975124378109453,1.0,39,39,17,6,34,6,1.0,0.41221557011030685,False,,,,,,True
VG08_BPP22_Tsuboyama_2023_2GP8,3884,5,0.4815119351570202,0.4815119351570202,0.16738272031648796,0.004975124378109453,1.0,40,40,15,6,36,6,1.0,0.5074515811357916,False,,,,,,True
OTU7A_HUMAN_Tsuboyama_2023_2L2D,681,7,0.48142765685291167,0.48142765685291167,-0.009860716850241126,0.004975124378109453,1.0,42,42,9,7,25,7,1.0,0.017818005622883673,False,,,,,,True
SDA_BACSU_Tsuboyama_2023_1PV0,832,2,0.48126013965155884,0.48126013965155884,0.15613847165125097,0.004975124378109453,1.0,44,44,18,7,37,7,1.0,0.26866699888164497,False,,,,,,True
OTU7A_HUMAN_Tsuboyama_2023_2L2D,5491,8,-0.4795408872814392,0.4795408872814392,-0.0052287770004814105,0.009950248756218905,1.0,42,42,9,7,25,4,0.5714285714285714,0.7160962680859986,False,,,,,,True
VG08_BPP22_Tsuboyama_2023_2GP8,7309,6,-0.47837511106241887,0.47837511106241887,-0.18796664481823924,0.004975124378109453,1.0,40,40,15,6,36,5,0.8333333333333334,0.9003173213699529,False,35035.0,0.797887826459255,0.5079060372924684,0.020102924260841957,0.00016786120101695392,True
SAV1_MOUSE_Tsuboyama_2023_2YSB,7743,4,-0.4745168407123401,0.4745168407123401,-0.10165118421295444,0.004975124378109453,1.0,43,42,13,7,40,6,0.8571428571428571,0.9359047078842881,False,,,,,,True
RBP1_HUMAN_Tsuboyama_2023_2KWH,4441,7,0.47392728477173107,0.47392728477173107,0.12015695584487718,0.004975124378109453,1.0,52,52,21,8,41,8,1.0,0.12696797497907586,False,,,,,,True
PIN1_HUMAN_Tsuboyama_2023_1I6C,9157,14,-0.47349836953709673,0.47349836953709673,-0.42012218969836945,0.004975124378109453,1.0,39,39,17,6,34,6,1.0,0.41221557011030685,False,,,,,,True
THO1_YEAST_Tsuboyama_2023_2WQG,7309,1,-0.47240624035430867,0.47240624035430867,-0.3649924309192226,0.004975124378109453,1.0,41,41,22,5,37,3,0.6,0.996395773674336,False,35035.0,0.797887826459255,0.5079060372924684,0.020102924260841957,0.00016786120101695392,True
TCRG1_MOUSE_Tsuboyama_2023_1E0L,3982,6,0.4718487101205508,0.4718487101205508,0.29875125521953216,0.009950248756218905,1.0,37,35,12,6,31,6,1.0,0.3167094233270704,False,,,,,,True
TCRG1_MOUSE_Tsuboyama_2023_1E0L,8121,7,0.47063491831940923,0.47063491831940923,0.44140855015232683,0.009950248756218905,1.0,37,35,12,6,31,5,0.8333333333333334,0.7552301633183987,False,,,,,,True
PIN1_HUMAN_Tsuboyama_2023_1I6C,4260,15,-0.46879967976302683,0.46879967976302683,-0.2721163507208651,0.004975124378109453,1.0,39,39,17,5,34,5,1.0,0.48328722012932535,False,,,,,,True
OTU7A_HUMAN_Tsuboyama_2023_2L2D,1146,9,0.46616343496591806,0.46616343496591806,0.2585216349834263,0.009950248756218905,1.0,42,42,9,7,25,4,0.5714285714285714,0.7160962680859986,False,,,,,,True
YNZC_BACSU_Tsuboyama_2023_2JVD,552,3,-0.46397974846424456,0.46397974846424456,-0.1897229639227249,0.004975124378109453,1.0,39,39,6,6,28,6,1.0,0.11547150866036313,False,,,,,,True
PIN1_HUMAN_Tsuboyama_2023_1I6C,1892,16,0.46270314461687323,0.46270314461687323,0.39388033614348944,0.004975124378109453,1.0,39,39,17,6,34,6,1.0,0.41221557011030685,False,,,,,,True
RBP1_HUMAN_Tsuboyama_2023_2KWH,3884,8,0.4612597749406313,0.4612597749406313,0.17843902545831142,0.004975124378109453,1.0,52,52,21,8,41,7,0.875,0.45559096904256613,False,,,,,,True
SQSTM_MOUSE_Tsuboyama_2023_2RRU,3801,13,0.45938219549200027,0.45938219549200027,-0.1834916800756959,0.004975124378109453,1.0,40,40,8,5,26,5,1.0,0.09996838944207366,False,,,,,,True
SDA_BACSU_Tsuboyama_2023_1PV0,9241,3,0.45777779726037887,0.45777779726037887,0.15344633421415038,0.004975124378109453,1.0,44,44,18,7,37,7,1.0,0.26866699888164497,False,,,,,,True
SQSTM_MOUSE_Tsuboyama_2023_2RRU,8960,14,0.45733211503658106,0.45733211503658106,0.4956863124690017,0.004975124378109453,1.0,40,40,8,6,26,5,0.8333333333333334,0.299905168326221,False,,,,,,True
PIN1_HUMAN_Tsuboyama_2023_1I6C,7229,17,-0.4564627082161833,0.4564627082161833,-0.1969623691526045,0.004975124378109453,1.0,39,39,17,6,34,6,1.0,0.41221557011030685,False,,,,,,True
PIN1_HUMAN_Tsuboyama_2023_1I6C,6419,18,-0.45575986026201876,0.45575986026201876,-0.27959074647269816,0.014925373134328358,1.0,39,39,17,6,34,6,1.0,0.41221557011030685,False,35035.0,0.797887826459255,0.4856747477802543,-0.027721343934236444,2.107540869448116e-07,True
SAV1_MOUSE_Tsuboyama_2023_2YSB,2894,5,-0.4556148239746083,0.4556148239746083,-0.04944730295470432,0.004975124378109453,1.0,43,42,13,7,40,6,0.8571428571428571,0.9359047078842881,False,,,,,,True
PIN1_HUMAN_Tsuboyama_2023_1I6C,5960,19,-0.4549588892730208,0.4549588892730208,-0.10470365358427024,0.009950248756218905,1.0,39,39,17,6,34,6,1.0,0.41221557011030685,False,,,,,,True
PIN1_HUMAN_Tsuboyama_2023_1I6C,1052,20,0.45358679106919136,0.45358679106919136,0.4450450794073379,0.004975124378109453,1.0,39,39,17,3,34,2,0.6666666666666666,0.9617025932815406,False,,,,,,True
RD23A_HUMAN_Tsuboyama_2023_1IFY,7511,10,0.45351935628874634,0.45351935628874634,0.06507305551434428,0.004975124378109453,1.0,44,44,12,7,25,6,0.8571428571428571,0.10035341856101926,False,,,,,,True
SR43C_ARATH_Tsuboyama_2023_2N88,8583,3,0.4524706892536099,0.4524706892536099,0.3281868947805153,0.004975124378109453,1.0,48,48,17,8,46,8,1.0,0.6914893617021276,False,,,,,,True
TCRG1_MOUSE_Tsuboyama_2023_1E0L,9342,8,0.4500978167794904,0.4500978167794904,0.4006238747510699,0.014925373134328358,1.0,37,35,12,6,31,6,1.0,0.3167094233270704,False,,,,,,True
TCRG1_MOUSE_Tsuboyama_2023_1E0L,1109,9,0.4499435092128511,0.4499435092128511,0.2644217779260357,0.004975124378109453,1.0,37,35,12,6,31,6,1.0,0.3167094233270704,False,,,,,,True
VG08_BPP22_Tsuboyama_2023_2GP8,2972,7,0.44977558964164627,0.44977558964164627,0.019243108512905574,0.004975124378109453,1.0,40,40,15,6,36,6,1.0,0.5074515811357916,False,,,,,,True
RBP1_HUMAN_Tsuboyama_2023_2KWH,8494,9,0.4472874501743291,0.4472874501743291,0.49364787494630646,0.009950248756218905,1.0,52,52,21,8,41,7,0.875,0.45559096904256613,False,,,,,,True
CBX4_HUMAN_Tsuboyama_2023_2K28,1945,1,0.44656482885775456,0.44656482885775456,-0.05770085562678169,0.009950248756218905,1.0,50,50,18,7,38,5,0.7142857142857143,0.7896788687723008,False,,,,,,True
OTU7A_HUMAN_Tsuboyama_2023_2L2D,2554,10,-0.44626901870028707,0.44626901870028707,0.08235367693168279,0.014925373134328358,1.0,42,42,9,7,25,4,0.5714285714285714,0.7160962680859986,False,,,,,,True
MAFG_MOUSE_Tsuboyama_2023_1K1V,5491,4,-0.4450008464295426,0.4450008464295426,-0.4694287435493883,0.004975124378109453,1.0,41,41,16,6,37,5,0.8333333333333334,0.9048089266317765,False,,,,,,True
SAV1_MOUSE_Tsuboyama_2023_2YSB,6467,6,-0.4449715177391358,0.4449715177391358,-0.07159302179227921,0.004975124378109453,1.0,43,42,13,5,40,4,0.8,0.9683980228506603,False,,,,,,True
SQSTM_MOUSE_Tsuboyama_2023_2RRU,9303,15,0.44436330352850917,0.44436330352850917,0.06954399974399152,0.009950248756218905,1.0,40,40,8,5,26,4,0.8,0.4180496285759444,False,,,,,,True
OTU7A_HUMAN_Tsuboyama_2023_2L2D,1547,11,0.44375614016682097,0.44375614016682097,0.32481902746089536,0.004975124378109453,1.0,42,42,9,7,25,6,0.8571428571428571,0.12941498820831296,False,,,,,,True
RD23A_HUMAN_Tsuboyama_2023_1IFY,8435,11,-0.44353374962575154,0.44353374962575154,-0.12382763614727381,0.014925373134328358,1.0,44,44,12,7,25,5,0.7142857142857143,0.33743836991142717,False,,,,,,True
SDA_BACSU_Tsuboyama_2023_1PV0,1146,4,0.44324218290788864,0.44324218290788864,0.192532318754043,0.004975124378109453,1.0,44,44,18,7,37,7,1.0,0.26866699888164497,False,,,,,,True
TCRG1_MOUSE_Tsuboyama_2023_1E0L,1622,10,-0.44313488550275837,0.44313488550275837,-0.39329284271876286,0.01990049751243781,1.0,37,35,12,6,31,2,0.3333333333333333,0.9999195624195624,False,,,,,,True
MAFG_MOUSE_Tsuboyama_2023_1K1V,9514,5,-0.44253178710418906,0.44253178710418906,-0.29975777016384675,0.009950248756218905,1.0,41,41,16,4,37,4,1.0,0.6521674730917351,False,,,,,,True
VG08_BPP22_Tsuboyama_2023_2GP8,9999,8,0.442306518153316,0.442306518153316,0.3397772444034907,0.009950248756218905,1.0,40,40,15,6,36,5,0.8333333333333334,0.9003173213699529,False,,,,,,True
AMFR_HUMAN_Tsuboyama_2023_4G3O,7983,4,-0.4396532446138201,0.4396532446138201,0.19305857206648594,0.009950248756218905,1.0,47,47,14,7,36,3,0.42857142857142855,0.9951023269456497,False,,,,,,True
SQSTM_MOUSE_Tsuboyama_2023_2RRU,4331,16,-0.43948199348612793,0.43948199348612793,0.0064428724056162685,0.004975124378109453,1.0,40,40,8,6,26,5,0.8333333333333334,0.299905168326221,False,,,,,,True
MAFG_MOUSE_Tsuboyama_2023_1K1V,9955,6,0.4387431572351075,0.4387431572351075,0.31598600443357483,0.014925373134328358,1.0,41,41,16,6,37,6,1.0,0.5170336723610149,False,,,,,,True
RBP1_HUMAN_Tsuboyama_2023_2KWH,7390,10,-0.4386213934458967,0.4386213934458967,-0.24202501888353942,0.004975124378109453,1.0,52,52,21,8,41,7,0.875,0.45559096904256613,False,,,,,,True
ODP2_GEOSE_Tsuboyama_2023_1W4G,2554,2,-0.4384449593015742,0.4384449593015742,0.2227068104531837,0.004975124378109453,1.0,44,44,15,7,41,6,0.8571428571428571,0.9386892177589852,False,,,,,,True
RBP1_HUMAN_Tsuboyama_2023_2KWH,3730,11,0.43820158271947063,0.43820158271947063,0.22185148025971663,0.004975124378109453,1.0,52,52,21,8,41,6,0.75,0.7842139631060565,False,,,,,,True
TCRG1_MOUSE_Tsuboyama_2023_1E0L,8435,11,0.4353522939836959,0.4353522939836959,0.22155767600382814,0.014925373134328358,1.0,37,35,12,6,31,6,1.0,0.3167094233270704,False,,,,,,True
MAFG_MOUSE_Tsuboyama_2023_1K1V,5709,7,0.43467019614678504,0.43467019614678504,0.41316875040145484,0.009950248756218905,1.0,41,41,16,6,37,5,0.8333333333333334,0.9048089266317765,False,,,,,,True
TCRG1_MOUSE_Tsuboyama_2023_1E0L,586,12,0.4339421304400028,0.4339421304400028,0.5123933094588425,0.024875621890547265,1.0,37,35,12,6,31,6,1.0,0.3167094233270704,False,,,,,,True
SAV1_MOUSE_Tsuboyama_2023_2YSB,5486,7,-0.4333458226455901,0.4333458226455901,-0.026012573255669802,0.009950248756218905,1.0,43,42,13,7,40,6,0.8571428571428571,0.9359047078842881,False,,,,,,True
SAV1_MOUSE_Tsuboyama_2023_2YSB,686,8,-0.43257648650713565,0.43257648650713565,-0.0962490101466826,0.009950248756218905,1.0,43,42,13,7,40,6,0.8571428571428571,0.9359047078842881,False,,,,,,True
VG08_BPP22_Tsuboyama_2023_2GP8,9740,9,0.43228289042744017,0.43228289042744017,0.24944420565450476,0.009950248756218905,1.0,40,40,15,5,36,5,1.0,0.5729292045081518,False,,,,,,True
